x1;x2
1.054553433;1.9510661679
0.9067117743;1.7441823846
1.0468486902;1.4747860044
1.3993985838;1.6516891584
1.0209715314;1.5006372405
0.9357504192;1.5288671394
0.9830050359;1.7620692861
1.0591508919;1.9359156225
0.7143034443;1.6556614353
1.1735348985;1.8941745615
0.945858705;2.0621369409
1.0175946261;1.6595347602
0.994117404;1.6668826473
0.9052858677;1.8120788676
1.2086688969;1.4904764088
0.9897866505;1.7892010455
1.099594182;1.6665030714
0.9659541948;1.8581732004
1.0226529462;1.5346279845
0.967627068;1.815153717
1.0146515331;2.0192666115
1.0562153001;1.6596278163
0.8837870442;1.8607031526
1.1369284617;2.2133831145
1.1253044652;1.5781035735
1.1131393365;1.5857865552
1.2208660824;1.9292872731
0.9332613072;1.8342850344
1.1047900167;1.7952774402
1.0956391008;1.6674916932
1.0831662186;1.6845447372
0.932329188;1.7827777848
1.1994908046;1.7651289477
1.225444005;1.5870880302
1.1334544965;1.7603272059
1.1412460578;1.5847733277
0.8790454119;1.5704428383
1.1297572524;1.6215529671
1.124865237;1.4364539634
0.9074844519;1.9009183278
0.8803037817;1.681934724
1.1848444551;1.5985475421
1.1129892054;1.5623557443
1.1985569856;1.8628543836
1.1532355044;1.8097930047
0.9714022566;1.6756904478
0.9124351791;1.550258382
0.9468709425;1.6713286035
0.8502049245;1.6363999671
1.0629137727;1.8565722438
1.0361643399;1.618269171
0.9859465452;1.5998112702
0.8607917394;1.7224247358
1.0789634559;1.6469974542
1.0325709624;1.9139868141
0.9874762482;1.9131326814
1.0217674596;1.7242300077
1.0562082867;1.5088037064
0.9573076278;1.7715013389
0.8496015486;2.0527830384
1.1669462409;1.895665002
1.0278459144;1.7876787726
1.2449735379;1.4251692828
0.972108474;1.7113775649
0.9755610357;1.5162758676
1.0079681643;1.5304021959
1.1703033951;1.5598483239
1.1170509135;1.7555500494
1.1379347349;1.6480017435
0.9474990657;1.740644799
1.044306759;1.7586218601
1.3882924317;1.4706256158
0.8867930409;1.741152807
1.3072973874;1.9624946688
0.9952631859;1.5154484367
1.2882472581;1.7647278138
0.7680864879;2.1524961948
0.8353522308;1.5280955178
1.0508350617;1.9630495716
1.0898540991;1.7231042997
0.8683182879;1.7392149
0.7962672375;1.844449338
1.1000985198;1.7951562885
1.6110961251;0.8241782451
1.8676411884;1.0013991828
1.5948117018;0.9362708517
1.8745702632;0.687630804
1.9102795692;0.8243696577
1.9193743437;0.9001608567
1.6873313658;1.0167914742
1.8738941343;1.0730469543
1.6429793358;0.8991344757
1.784954043;0.3992757624
1.7210063232;0.888448941
1.8011226288;0.9174857985
1.8909538131;1.0237613901
1.7933815377;0.771128934
1.7712170178;1.1685904692
1.9231565022;1.0700616876
1.9978461753;0.8795301732
1.7050628697;0.9629046237
1.9220471298;1.0314279195
1.4311744299;0.8194070322
1.8850447269;0.9075466761
1.8247360518;1.1084864145
2.0750201136;1.0872868011
1.6636699269;0.8675776647
1.919321808;0.919683687
1.6761847806;0.9305640681
1.6453662381;0.9607564812
1.7258731608;0.9044187816
1.7905425336;0.8284869591
1.469415249;0.7500830889
1.9983037539;1.0100377491
1.9205327064;0.965639316
2.0686647714;0.7751155374
1.8883594578;0.9591083877
1.6727679516;0.9411200676
2.0280419976;0.9396732024
1.831565541;1.0026325191
1.9637780304;1.1515373622
2.1804890742;1.0715180925
1.9151940093;0.9800719638
1.4952018138;0.4887645264
1.8384278898;0.8802140841
1.6519034529;0.8132242782
1.6567087977;0.7360521147
1.5238798311;0.8028062721
1.9533265455;0.7485192444
1.949345994;1.0810202019
1.897712682;1.0413572103
1.6131319974;0.5688144003
1.8162932031;0.9775767576
1.7969069013;0.847935069
2.0853944229;0.6965562198
2.0786945772;0.7908328638
1.9570037472;0.8700761271
1.7661179205;1.0319558412
1.7577263958;1.1724783417
1.7252554086;0.8884436778
2.0402904066;1.0270118721
1.9058399415;0.8658798774
1.9425403038;1.1407032651
1.8312005439;0.9807841332
2.048203824;0.7062028647
1.9746565557;0.6664699665
1.6749552354;0.8815533522
2.1944593518;0.7554164736
1.8767351874;1.0263590058
1.7985436434;0.9735685299
1.8814754886;0.8003282346
1.7114995395;0.8135596383
1.7358664134;0.7735010874
2.234685108;0.9490743057
2.0043577743;1.1864691078
1.97066682;0.8733128241
1.922336958;0.7978213167
2.0168913504;0.7375382763
1.7392645578;0.8128615275
1.8236455815;0.9984021021
1.680391524;1.1026664748
1.4782970331;0.8684750532
1.5563847753;0.9316142064
1.636246296;1.016454957
1.5480854049;0.9640412415
1.6400193906;1.1622342984
1.9556193528;0.9646358481
1.9345628382;1.1107603845
1.7800671726;0.9099604332
1.6705523253;1.0781390946
1.6905244773;0.91352205
1.7323417359;0.9620705829
1.905895395;0.9789362871
1.5354310245;0.9903691488
1.8321403095;1.0017086901
1.8474371304;1.1217110163
1.5598952133;0.8764723527
1.8961849611;1.2111412335
1.7793574275;1.2699107673
1.7111506842;0.8424997155
1.6123039602;1.037242305
1.7093654283;1.0517478969
1.6188255276;1.248076044
1.7443379079;0.9411624501
1.7800754688;1.2534636273
1.6851190122;1.1265994716
1.8053519364;1.3578219528
1.8062945625;1.4261657649
1.7834931303;1.3962159207
1.7399388894;1.3466250015
1.8935811414;1.5102104697
1.7214271458;1.0239890352
1.47933261;1.3715824743
1.6568801283;1.1623104318
1.5736255134;1.3615888713
1.7161512852;1.4083800819
1.6339757382;1.5459863175
1.6447835478;1.463439084
1.5145794459;1.1734242183
1.7316466932;1.4783782215
1.5530674632;1.1328725448
1.614889512;1.3901870079
1.5632258022;1.3788390054
